Sample,X(ms) [24.10.0049 10:10:51 348 UTC],CurrentSetpoint[°C],ScaledInput[°C],OutputHeat[%],OutputCool[%]
138,43214.739400,60,47.2837104797363,100,0
139,43528.024200,60,48.1119804382324,100,0
140,43840.437800,60,48.6545104980469,100,0
141,44152.704500,60,50.0144691467285,100,0
142,44465.309100,60,50.556999206543,100,0
143,44793.202800,60,51.3635711669922,99.4744110107422,0
144,45089.977800,60,51.8952598571777,100,0
145,45402.612300,60,52.6909713745117,100,0
146,45714.881200,60,53.7434883117676,99.4674301147461,0
147,46025.534100,60,53.7434883117676,100,0
148,46337.776300,60,54.5319709777832,100,0
149,46650.226600,60,55.8232116699219,99.9165267944336,0
150,46962.861400,60,56.3331909179688,100,0
151,47321.919700,60,57.0999717712402,100,0
152,47618.917100,60,58.3622703552246,98.6287689208984,0
153,47899.940200,60,58.861400604248,99.2338714599609,0
154,48212.334400,60,59.3641510009766,99.1552963256836,0
155,48517.321600,60,60.1092300415039,98.1599578857422,0
156,48829.714200,60,60.601131439209,96.8613662719727,0
157,49157.647100,60,61.3208885192871,94.1389007568359,0
158,49454.535500,60,62.2395782470703,89.5410232543945,0
159,49767.018200,60,62.8833885192871,85.3598785400391,0
160,50079.360500,60,63.28125,80.5353469848633,0
161,50391.718300,60,63.8490982055664,74.5687637329102,0
162,50735.394900,60,64.1854782104492,69.7643585205078,0
163,51032.202300,60,64.4929122924805,64.7303314208984,0
164,51329.136800,60,65.1475677490234,55.2065010070801,0
165,51641.434600,60,65.4550094604492,48.703369140625,0
166,51954.018100,60,65.6069183349609,42.6655693054199,0
167,52266.431400,60,65.7190399169922,36.3365211486816,0
168,52641.190700,60,65.8420104980469,28.4578609466553,0
169,52942.891500,60,65.8709487915039,20.8956108093262,0
170,53192.914900,60,65.8167037963867,11.1626100540161,0
171,53505.522700,60,65.6864929199219,5.65321397781372,0
172,53833.506600,60,65.5526733398438,0,0
173,54121.503000,60,65.3790512084961,0,0
174,54434.065500,60,65.1150207519531,0,0
175,54746.347600,60,64.6665191650391,0.200265899300575,0
