Sample,X(ms) [21.07.2012 20:32:34 736 UTC],"Data".Tank1.Heater.State.HeatingOut,"Data".Tank1.WaterTemp.AIScaled
157,1574.181000,25,19.9978294372559
158,1584.213000,25,19.9978294372559
159,1594.259000,25,19.9978294372559
160,1604.431000,25,19.9978294372559
161,1614.218000,25,19.9978294372559
162,1624.858000,25,19.9978294372559
163,1634.213000,25,19.9978294372559
164,1644.245000,25,19.9978294372559
165,1654.378000,25,19.9978294372559
166,1664.258000,25,19.9978294372559
167,1674.222000,25,19.9978294372559
168,1684.252000,25,19.9978294372559
169,1694.258000,25,19.9978294372559
170,1704.369000,25,19.9978294372559
171,1714.189000,25,19.9978294372559
172,1725.651000,25,19.9978294372559
173,1735.202000,25,19.9978294372559
174,1744.198000,25,19.9978294372559
175,1754.341000,25,19.9978294372559
176,1764.255000,25,19.9978294372559
177,1774.235000,25,19.9978294372559
178,1784.262000,25,19.9978294372559
